song_name,valence,energy,danceability,acousticness,tempo,liveness,mood
Great Influence,0.256,0.7240000000000001,0.7340000000000001,0.0133,170.05,0.248,Party
It Don't Matter,0.605,0.742,0.777,0.165,125.0,0.0957,Party
absolute in doubt,0.259,0.66,0.733,0.0219,138.034,0.151,Party
Boss,0.647,0.789,0.8029999999999999,0.0304,119.999,0.3779999999999999,Energetic
Look at Me Now,0.355,0.5379999999999999,0.649,0.0483,160.075,0.0928,Chill
Bulletproof,0.482,0.867,0.58,0.0152,159.95,0.14,Chill
Contraband,0.483,0.679,0.8009999999999999,0.17,130.015,0.188,Party
Deira City Centre,0.146,0.655,0.677,0.0027,200.238,0.162,Chill
Kyoto,0.203,0.716,0.623,0.22,116.914,0.113,Chill
Pull Out Game,0.313,0.542,0.797,0.018,155.862,0.0838,Party
Bird Is The Word,0.595,0.542,0.85,0.53,120.037,0.0774,Party
Life Is Short,0.3389999999999999,0.411,0.743,0.254,119.693,0.292,Chill
Here We Go Again,0.271,0.759,0.8759999999999999,0.0224,113.996,0.475,Energetic
Bloodshed,0.12,0.8270000000000001,0.665,0.13,143.026,0.351,Energetic
Wassup Bro!,0.281,0.585,0.81,0.248,139.968,0.0959,Party
ACT 2 - BirthOfTheSpaceGod,0.249,0.743,0.618,0.0191,120.16,0.452,Chill
Grey Tee,0.296,0.8590000000000001,0.622,0.0342,173.99400000000003,0.0797,Energetic
Sleeping Bag,0.222,0.6459999999999999,0.674,0.1169999999999999,160.028,0.104,Chill
Afterlife,0.203,0.53,0.628,0.0608,190.012,0.0642,Chill
King Cobra (Drippin'),0.119,0.655,0.877,0.00181,127.947,0.0948,Party
Heart Attack,0.181,0.895,0.585,0.0505,119.904,0.32,Chill
Chain$Aw,0.412,0.925,0.7170000000000001,0.244,137.989,0.287,Energetic
"King, Scar.",0.178,0.853,0.7140000000000001,0.205,204.068,0.1159999999999999,Energetic
P.T.S.D,0.303,0.772,0.473,0.0212,130.32,0.3989999999999999,Chill
Brand New,0.536,0.637,0.767,0.0673,160.123,0.105,Party
Jukai,0.0808,0.7040000000000001,0.7190000000000001,0.138,113.007,0.0753,Chill
Philosopher's Throne,0.419,0.4579999999999999,0.85,0.00487,141.997,0.122,Party
PRBLMS,0.106,0.574,0.672,0.0303,206.038,0.18,Chill
Back At It,0.565,0.716,0.758,0.607,189.872,0.0653,Party
Fuck a Hoe (feat. $Uicideboy$),0.493,0.774,0.76,0.00972,148.0,0.1989999999999999,Energetic
Broken,0.337,0.417,0.508,0.0231,193.92,0.128,Chill
3 Xans,0.6579999999999999,0.5720000000000001,0.8690000000000001,0.0493,152.11,0.103,Party
LoyaltyRunsDeepInDaLongRun,0.425,0.525,0.985,0.0631,120.011,0.1159999999999999,Party
Skywalker,0.358,0.7120000000000001,0.738,0.0226,149.005,0.0773,Party
White Wine,0.482,0.574,0.675,0.0121,135.037,0.108,Chill
Smoke Break,0.775,0.726,0.8759999999999999,0.0489,112.002,0.366,Happy
Louis V,0.231,0.5539999999999999,0.725,0.163,120.08,0.489,Party
Fuck A Swisher,0.374,0.422,0.89,0.235,129.998,0.0925,Party
RampartRange,0.4579999999999999,0.413,0.8490000000000001,0.00286,170.09599999999998,0.106,Party
Floor 555,0.354,0.6859999999999999,0.695,0.000424,210.438,0.365,Chill
Plug Walk,0.158,0.519,0.8759999999999999,0.2019999999999999,189.962,0.108,Party
Haunt U,0.0894,0.632,0.4629999999999999,0.3929999999999999,163.71,0.127,Chill
Buttcheeks,0.455,0.362,0.7090000000000001,0.165,146.023,0.107,Party
Back off Me,0.2319999999999999,0.5660000000000001,0.7709999999999999,0.0939,146.09799999999998,0.109,Party
Intro.Desolation,0.0362,0.821,0.136,0.0965,192.94,0.325,Chill
The Singularity,0.114,0.495,0.476,3.28e-05,180.0,0.506,Chill
D(R)Ead,0.108,0.893,0.499,0.0731,115.044,0.0907,Chill
Trench Coat,0.0399,0.634,0.851,0.26,135.017,0.0766,Party
"I've Seen Satan, He Has Dreadlocks",0.4029999999999999,0.928,0.241,3.26e-05,120.229,0.612,Chill
Your Desire,0.602,0.635,0.622,0.6509999999999999,119.922,0.119,Motivational
Byberry,0.402,0.703,0.745,0.0345,144.933,0.095,Party
Benadrylled,0.736,0.659,0.855,0.0773,119.989,0.0957,Happy
Dream Journal,0.132,0.44,0.5489999999999999,0.632,218.41,0.0909,Chill
Hannah Baker,0.195,0.5670000000000001,0.7020000000000001,0.604,120.081,0.359,Party
20k,0.4579999999999999,0.732,0.53,0.0608,132.02200000000002,0.073,Chill
Whatever,0.0855,0.5489999999999999,0.726,0.00587,138.03799999999998,0.345,Party
Nightstalker,0.0712,0.423,0.708,0.0156,124.989,0.136,Party
Headfuck,0.435,0.604,0.66,0.247,155.196,0.196,Chill
