song_name,valence,danceability,energy,tempo,liveness,loudness,speechiness,acousticness,mood
Giant Squit,0.348,0.7040000000000001,0.838,119.866,0.102,-4.042,0.29,0.0854,Angry
Arachnids,0.599,0.8640000000000001,0.727,119.987,0.295,-5.996,0.1,0.0229,Calm
Cut Throat,0.0379,0.8809999999999999,0.445,124.972,0.114,-9.83,0.107,0.00209,Calm
Benz Truck (гелик),0.1119999999999999,0.602,0.762,184.04,0.121,-6.149,0.0347,0.0498,Angry
Norf Norf,0.104,0.924,0.5429999999999999,199.99400000000003,0.11,-6.612,0.0854,0.432,Calm
Dat $tick,0.159,0.919,0.493,216.152,0.122,-8.81,0.0613,0.14,Calm
Crazy,0.26,0.475,0.7879999999999999,206.056,0.128,-4.851,0.342,0.231,Angry
Still Cold / Pathway Private,0.0813,0.762,0.41,200.094,0.157,-11.979,0.0551,0.278,Calm
The Chills,0.6779999999999999,0.789,0.623,203.982,0.0835,-8.337,0.138,0.242,Happy
Slip on a Banana Clip,0.474,0.7559999999999999,0.794,140.036,0.314,-4.539,0.208,0.0362,Calm
Lights,0.736,0.799,0.546,150.00799999999998,0.0836,-6.081,0.3229999999999999,0.185,Calm
Akina Speed Star,0.0603,0.931,0.273,119.956,0.1369999999999999,-11.723,0.176,0.00946,Sad
The Bodies Fall Just Like the Leaves,0.267,0.835,0.5589999999999999,133.05200000000002,0.1159999999999999,-5.617000000000001,0.0327,0.0017699999999999,Calm
Story: No Title,0.0971,0.716,0.745,208.054,0.103,-6.374,0.318,0.216,Angry
P.S Fuck You Cunt (feat. Lil Peep),0.313,0.723,0.4589999999999999,139.972,0.11,-10.259,0.239,0.0009599999999999,Calm
Torch,0.271,0.8490000000000001,0.736,147.904,0.0757,-6.6610000000000005,0.147,0.0049299999999999,Angry
"Buff Squad (feat. Pouya, Shakewell & Germ)",0.0671,0.762,0.509,120.054,0.155,-7.354,0.0631,0.148,Calm
Virginia Tech,0.529,0.727,0.846,131.984,0.143,-3.555,0.1939999999999999,0.0245,Calm
Lte,0.0381,0.7829999999999999,0.497,212.026,0.124,-7.652,0.0508,0.0716,Calm
Fuckthepopulation,0.278,0.841,0.5760000000000001,192.008,0.105,-7.593,0.125,0.289,Calm
Dark Light,0.0362,0.625,0.45,185.948,0.1169999999999999,-9.985,0.0311,0.0776,Calm
"But Wait, There's More (feat. $uicideBoy$)",0.462,0.8,0.8240000000000001,150.023,0.0527,-5.159,0.0604,0.0128,Calm
Great Influence,0.256,0.7340000000000001,0.7240000000000001,170.05,0.248,-5.648,0.267,0.0133,Angry
It Don't Matter,0.605,0.777,0.742,125.0,0.0957,-8.222999999999999,0.289,0.165,Happy
absolute in doubt,0.259,0.733,0.66,138.034,0.151,-6.87,0.0436,0.0219,Angry
Boss,0.647,0.8029999999999999,0.789,119.999,0.3779999999999999,-3.434,0.0383,0.0304,Happy
Look at Me Now,0.355,0.649,0.5379999999999999,160.075,0.0928,-9.793,0.0918,0.0483,Calm
